stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000333667,9606.ENSP00000377617,SHMT2,MTHFD2,9606,0.997,0.111,0,0,0.618,0.06,0.956,0.838
9606.ENSP00000334051,9606.ENSP00000358301,GNAL,ADRB1,9606,0.843,0,0,0,0.042,0.477,0.65,0.211
9606.ENSP00000334382,9606.ENSP00000385142,HOMER1,NRXN1,9606,0.706,0,0,0,0,0,0.5,0.437
9606.ENSP00000334382,9606.ENSP00000337168,HOMER1,EPB41L1,9606,0.747,0,0,0,0.067,0,0,0.74
9606.ENSP00000334382,9606.ENSP00000439937,HOMER1,HOMER3,9606,0.993,0,0,0,0,0.875,0.9,0.514
9606.ENSP00000334910,9606.ENSP00000426786,PDE2A,GUCY1B1,9606,0.82,0,0,0,0.086,0.126,0.689,0.362
9606.ENSP00000337168,9606.ENSP00000343158,EPB41L1,EPB41L3,9606,0.769,0,0,0,0.06,0.52,0.5,0.096
9606.ENSP00000337386,9606.ENSP00000356070,ZFP36L1,MAPKAPK2,9606,0.983,0,0,0,0.049,0.51,0.9,0.691
9606.ENSP00000337838,9606.ENSP00000371693,RTN4,TNFRSF19,9606,0.75,0,0,0,0,0,0,0.75
9606.ENSP00000337838,9606.ENSP00000351155,RTN4,ATL1,9606,0.834,0,0,0,0.062,0.479,0,0.687
9606.ENSP00000337838,9606.ENSP00000368959,RTN4,REEP5,9606,0.954,0,0,0,0.134,0.512,0,0.901
9606.ENSP00000338185,9606.ENSP00000378306,PLCB1,PPP3CB,9606,0.7,0,0,0,0.056,0,0.65,0.164
9606.ENSP00000338185,9606.ENSP00000409667,PLCB1,SYNJ1,9606,0.73,0,0,0,0.087,0,0.65,0.224
9606.ENSP00000338185,9606.ENSP00000378323,PLCB1,PPP3CA,9606,0.731,0,0,0,0.067,0,0.65,0.242
9606.ENSP00000338185,9606.ENSP00000385780,PLCB1,DGKB,9606,0.733,0,0,0,0.066,0,0.65,0.25
9606.ENSP00000338185,9606.ENSP00000367762,PLCB1,PLCB4,9606,0.783,0,0,0.074,0.062,0,0.65,0.372
9606.ENSP00000338185,9606.ENSP00000497527,PLCB1,INPP5F,9606,0.903,0,0,0,0.044,0,0.9,0.072
9606.ENSP00000338185,9606.ENSP00000379098,PLCB1,CAMK2B,9606,0.924,0,0,0,0.089,0,0.9,0.236
