Symbol,pooled_log2FC
AVIL,1.62121493855861
FNDC3B,1.13893286122982
PCDHB16,1.3259315554471
SOX9,1.49963342091524
SAMD9L,1.60070180030052
MPP1,-1.00121686149003
TREM2,1.62973427674253
FREM2,1.45290338687009
ARHGAP31,1.13957822693899
MGAT5B,-1.83046687857467
DENND6B,-1.04632177043916
APOE,1.14653239119949
OSBPL1A,-1.3382467447394
STX1A,-1.44238429093824
TNFRSF19,1.38792592621069
SPHK1,1.85343942018393
RFX4,1.13059564318924
SNORA5C,1.12657814103452
PLCB4,-1.86163476692281
RNU4-1,1.50149984382004
EEF2KMT,1.13553952710441
FGF17,-1.71271662727727
HMGA2,2.066961939831
ABHD12B,-1.52819831766524
CUEDC1,1.29029358369314
CRTC1,-1.34443773100686
SMO,1.74203947444835
TDRD6,-1.88755185000541
RRBP1,1.02413354551088
MYH11,-2.17575628399849
GLT1D1,-2.55868215377487
PPP3CB,-2.0529645955995
MAPRE2,-1.14411588688604
RPH3A,-1.98885570881687
E2F5,1.14133380429049
PGAM2,1.72121626532859
KCNIP2,-1.7031217972551
GPR176,-1.07342734528976
EMP1,2.06395047917208
CMTM3,2.33256583535188
VAMP5,1.38039940948708
BAX,1.06601358327761
IL32,1.49537950007215
CYBA,1.40386359461172
ZBTB18,-1.20198763660346
FHL1,-1.22846737340863
PDZD4,-1.29558578859135
CLIC4,1.35890471216928
SPTSSB,-1.55853843337244
UBE2L6,1.03733804381156
QTMAN,-1.05296539440721
SIAE,-1.38209056458157
PCP4,-2.24200191822866
TMEM121B,-1.10680697547096
LASP1NB,-1.36359792246962
INPP5A,-1.02630081705642
OPN3,-1.45719686442446
BYSL,1.53592933208808
NRSN1,-2.24040667951448
TNFRSF1A,1.17046785067176
COXFA4L2,1.13468250157133
MCM8,1.23291771953878
TNIP2,1.25787361453076
NCF1,1.56609194510357
H3C1,1.31389080252909
FNDC5,-1.16716946906824
PLEKHG2,1.15760017262252
METRN,1.1207895793076
H1-2,1.36571354807783
H4C2,1.25639765572141
ERBB4,-1.35498314064148
AFAP1L1,1.70096262443868
PIP5K1B,-3.92238656737795
GABRB1,-1.41949050711906
MTHFD2,1.67637645759562
PBX3,1.18293166176231
CHCHD7,-1.12527685408365
FBXO44,-1.17223456853263
ZNF248,-1.10262427812831
KMO,-1.90142431557394
ARHGEF40,1.19165597613884
SLC45A4,-1.62681462851976
BRINP1,-2.6112840213928
GADD45G,1.80445933043602
PYCR1,1.24475143934867
LAMC1,1.97353628139373
RGPD1,-2.7495442874554
