Gene_ID,n_datasets
ENSG00000164112,1
ENSG00000164116,1
ENSG00000164124,1
ENSG00000164136,1
ENSG00000164171,1
ENSG00000164181,1
ENSG00000164188,1
ENSG00000164211,1
ENSG00000164236,1
ENSG00000164241,1
ENSG00000164283,1
ENSG00000164294,1
ENSG00000164300,1
ENSG00000164308,1
ENSG00000164418,1
ENSG00000164434,1
ENSG00000164543,1
ENSG00000164574,1
ENSG00000164600,1
ENSG00000164620,1
ENSG00000164649,1
ENSG00000164675,1
ENSG00000164692,1
ENSG00000164715,1
ENSG00000164742,1
ENSG00000164754,1
ENSG00000164776,1
ENSG00000164794,1
ENSG00000164830,1
